"","comicName","comicSummary","comicGrade"
"116","같이 꽃길 걸을까요?","군화곰신커플 일상툰","9.68"
"117","드래곤메이커","용키우는만화","9.90"
"118","인비트윈","판타지액션,자유연재","9.51"
"119","벽(로그아웃)","미스터리 SF 단편","9.82"
"120","숙천","단 한 번뿐인 생.","9.75"
"121","오묘한 가족","오묘한가족의 이야기","9.89"
"122","뼈의 시간","병원 미스테리호러","9.78"
"123","철수이야기","함께여서 난 좋았어","9.91"
"124","시나브로 너에게","환상세계가 펼쳐진다","9.66"
"125","비행소년","나의 첫 친구들","9.91"
"126","소울","코믹액션 더하기 환타지","8.95"
"127","Hello Death! [헬로데스]","세상엔신들이너무많아","9.84"
"128","꿈무덤","꿈 속의 이야기","9.84"
"129","날개의 기억","학원 로맨스 드라마","9.80"
"130","개남","한명쯤 키우고 싶은","9.92"
"131","흔하지 않은 로맨스 유형","청춘남녀 4컷만화","9.91"
"132","티레시아스","판타지 순정만화","9.86"
"133","고냥고냥","취준생 고냥이","9.91"
"134","빌리다이어트","개고생 다이어트","9.82"
"135","눈깔 소녀","어느날 갑자기","9.87"
"136","니하오복고","요리하는고양이 복고","9.89"
"137","여왕의 계절","시대극 판타지 웹툰","9.87"
"138","스윗칵테일","Self Made","9.38"
"139","재미개발","IT개발자들 이야기","9.80"
"140","백수세끼","백수의 삼시세끼","9.54"
"141","나비 이야기","식물이 무서워","9.90"
"142","개구리공주","학원판타지","9.89"
"143","파도의 색깔","판타지 성장 만화","9.90"
"144","윤덩까툰 시즌2","영국_일상_로맨스","9.71"
"145","DOOR","귀여운 다크판타지","9.86"
"146","에리스","남을 속여야 이긴다","9.37"
"147","용사·마왕·우주인","낙제 용사 이야기","9.90"
"148","결혼 교과 시간","학교에서배우는결혼","9.82"
"149","반연(絆緣)","토요일 저녁에만나요","9.90"
"150","회사원 채대리","회사원 만화","9.84"
"151","어글리 피플즈","못생긴남자의 이야기","8.88"
