"","grade","review"
"48","1"," 
                                            이게 15세냐?  사회적 약자이든  정신병자든 살인을 하고 죄책감이 없다는걸 만든 영화가우상이 되는 영화라니....  이 사회가 제대로 돌아가는 세상인가.  이영화가 15세 인거도 사회가 미친거지?"
"49","10"," 
                                            어머니의 망상인줄 알았는데 어머니의 흑백사진에 T.W의 사인을 본 아서.  토마스웨인이 엔조이하다가 자신의 아이를 임신하자 정신병원으로 내쳤고아서는 아동학대로 자라 온 과정을 깨닫게 된다.우리나라도 최근에  대기업회장님이 가사도우미 성폭행했다가 고소당해 공항에서 구속되었고계모 또는 계부로부터 구타당해 숨진 아동의 사건이 심심치않게 나온다.DC에서 이런 아트무비가 나올 줄 누가 알았겠냐. 
                                        "
"50","10"," 
                                            내안에 깊이 숨겨놓고 꺼내놓지 못한 빌런을  세상에 꺼내놓은 듯한 ..그래서 더 공감이 간다.연기같은 연기아닌 조커....
                                        "
"51","6"," 
                                            감독은 별로
                                        "
"52","10"," 
                                            범죄자... 어쩌면 사회적 약자였던 그들에 대한 우리 모두의 무례함과 차별과 무관심이 그들을 그렇게 만든것일지도...이런 사회를 만드는건 우리 모두의 잘못이며그들에게 따뜻한 마음이 필요한거 같다."
"53","0"," 
                                            
                                        "
"54","10"," 
                                            영화시작 5분 조커가 웃을때 이미 게임끝.영화 마지막까지 몰입할수밖에 없었음.영화가 아니라 작품임.이 미친연기력의 호아킨피닉스의 조커를과연 DC히어로 시리즈에서 감당할수 있을까?
                                        "
"55","1"," 
                                            비정상
                                        "
"56","9"," 
                                            사회적인 약자가 어떻게 빌런과 미치광이 악당이 되어가는지 보여주는 영화물론 악당이 되어가는 모습 모두가 정당화할 수 있는 내용은 아니다.조커를 보면서 연쇄살인범, 왕따학생, 사회적약자에 대한 배려와 사랑이반드시 필요하다 생각되는 영화다. 물론 조커의 행위를 정당화할 수 없지만그들이 어렸을때부터 그런 열악한 환경이 아니었다면 조커가 되지 않지 않았을까?다시한번 가슴이 먹먹해지고 조커같은 괴물이 키워지는 세상을 만들지 말라는 메세지를주는 영화가 아닐까?
                                        "
"57","10"," 
                                            학창시절 야자 땡땡이 치고 돈은 없고 다행히 노안이라 수원역 근처  2편 동시상영 극장들 누비고 다녔었는데 나이들어서 그 좋아죽던 영화를 케이블에서 공짜로 해주는것도 안보게 되더군요. 해서 작년부터 큰맘먹고 영화를 보러 다닙니다. 요즘 무늬만 멀티플렉스 진짜 영화 보는맛 안나요 . 그저 규모가 예전 동시상영 소극장 분위기가 나서 그냥 어쩔수 없이 그추억으로 봅니다. 어쨌든 올해 본 영화중 최고. 이걸 보고 우리 평범한 민중은 모두 기득권에겐 막대해도 무례하게 대해도 되는 그런 존재인데 난 장애가 없고 빈곤층은 아니니 조커와 나는 다르다고 느끼는 모지라도 있을까?  우린 모두 자본의 노예요. 물론 스스로 자신이 노예인줄 알았던 옛날 신분제하의 노예와는 다르게 스스로 노예인줄 모르고 자유인으로 착각하고 살고 있지요. 슬프네요.
                                        "
"58","10"," 
                                            최고의 영화.
                                        "
"59","10"," 
                                            멋진 영화몰입감이 좋다
                                        "
"60","1"," 
                                            기분 나쁜 영화더구나 이 영화가 15세라니 40대 후반인 내가 봐도 기분나쁘고 찝찝한데 아이들이 이걸 받아들일수 있을지 걱정이네요. 20대 중반 딸아이는 오늘 아침에도 생각나서 기분 나쁘답니다. 연기는 너무 잘한것이라고 생각할래요.
                                        "
"61","9"," 
                                            
                                        "
"62","1"," 
                                            사람들을죽여야하는것을  자신의분노로 표출하며 당연시되는 장면들은,,이해안되고 기분안좋았음! 배우의연기력은 정말 좋았음~
                                        "
"63","7"," 
                                            
                                        "
"64","10"," 
                                            참 좋은 영화입니다. 안 보신 분들 꼭 보세요.
                                        "
"65","6"," 
                                            너의 눈물 어린 분노는 이해하지만, 웃음 짓는 피해망상의 방아쇠 당기기는 수긍할 수 없다.
                                        "
"66","10"," 
                                            마블같은 얘들 영화보다가 눈호강했다. 망쳐버린 스파이더맨 돌려놔라 마블아.
                                        "
"67","10"," 
                                            내 인생영화
                                        "
"68","10"," 
                                            아서 플렉은그렇게 환희의 춤을 추며 계단을 내려가조커가 되었다
                                        "
