"","comicName","comicSummary","comicGrade"
"1","세모와 동그라미","나보다외로운사람에게","9.86  "
"2","A - STUDENT(모범생)","사악한 본성","9.82  "
"3","이브의 꿈속친구","꿈에서 만난 친구","9.76  "
"4","홈 스윗 홈","네식구 사는 이야기","9.85  "
"5","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86  "
"6","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85  "
"7","웰캄 투 실버라이프","할머니! 할아버지!","9.94  "
"8","선선한 이야기","프리랜선선","9.68  "
"9","일상견문록","다른나라 일상이야기","9.85  "
"10","광해와 이순신","전쟁을 이긴 영웅들","9.60  "
"11","다 이아리","데이트폭력에 관하여","9.84  "
"12","식인귀","괴물이 보인다","9.78  "
"13","저승파견고용직","기묘한 만화","9.92  "
"14","검은 늑대","검은 늑대","9.88  "
"15","제목이 7080 만화","7080 이야기","9.90  "
"16","하루와 모레","일상 이야기 :)","9.68  "
"17","올어바웃 You","봉카의 외노자인생","9.87  "
"18","나도 옷 잘 입고 싶다","패고의 패션만화","9.92  "
"19","외국 in 한국","영국인의한국생활","9.87  "
"20","중딩툰","중딩이 그리는 웹툰","9.46  "
"21","파리스의 선택","그리스 신화 회귀물","9.93  "
"22","아옹아옹","두식이 냥육일기","9.92  "
"23","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84  "
"24","당할연","당신도할수있다연애","7.25  "
"25","채똘일기","채똘일기","9.57  "
"26","매지컬팡","명랑만화 매지컬팡","9.90  "
"27","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60  "
"28","나는 마요 집사로소이다","쉽지 않은 집사생활","9.92  "
"29","마법소년 근무일지","","9.72  "
"30","158동 진상부부","부부의 진짜 일상","9.11  "
"31","껌은 고양이 뇌로","고양이 성 탈출극","9.82  "
"32","충충의 하루","충충의 하루","9.63  "
"33","휴지통","잔부스러기같은 행복","9.87  "
"34","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84  "
"35","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94  "
"36","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72  "
"37","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86  "
"38","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87  "
"39","나의 별에게","감성로맨스","9.92  "
"40","사랑을,너에게","학원성장물","9.90  "
"41","스투피즈","새내기 생활툰","9.93  "
"42","저주와 별가루","저주와 별가루","9.80  "
"43","목소리의 그늘","훈남 전문 성우들!","9.89  "
"44","서폿저택에 어서오세요","서폿만 사는 저택","9.84  "
"45","STONE AGE","스릴러 판타지","9.88  "
"46","이딴여행","여행포토툰","9.79  "
"47","맹랑맘마 MEMORY","다시 쓰는 일기","9.83  "
"48","라텔론","근미래속의 마법사","9.36  "
"49","CMYK","의식의 흐름 만화","9.13  "
"50","나의 작은 조","공룡집사의 반려인간","9.88  "
"51","연애일기","소소한 연애 일상","9.83  "
"52","분노의 난임일기","난임 정복 웹툰!","9.84  "
"53","오늘부터 날아!","신나는 배구","9.89  "
"54","용아","능력자 판타지","8.90  "
"55","블랙메일","우체부 이야기.","9.33  "
"56","[리뉴얼] 무감각자들","무감자,스릴러로맨스","9.64  "
"57","1시간 30분","비글과 아웃사이더","9.89  "
"58","마음과 마법의 반비례","마법학교 적응하기","9.88  "
"59","위치파이와 미드나잇주스","내 인생은 내 인생","9.80  "
"60","빵뽀시래기","빵집 알바 해봤니?","9.88  "
"61","백수와 갓족","백수의 일상 습작","9.86  "
"62","좋아하는거 참으면 병나요!","좋아하는건 못참아","9.72  "
