"","평점","리뷰"
"72","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"73","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"74","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"75","9",""
"76","10","좋아요"
"77","10",""
"78","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"79","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"80","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"81","10","올드보이의최민식뺨칠정도의연기다.10/10"
"82","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"83","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
"84","10","코믹스영화는믿고거르는데이영화는다르다.2019년최고의영화가아닌가싶다"
"85","9",""
"86","10","좋아요"
"87","10",""
"88","0","네이버는1점부터줄수잇는데0점을줄수잇어서행복!오늘좋은하루입니다."
"89","9","뭐하나나무랄데없는완벽에가까운영화진한슬픔이다가오는현실,결국은환경이나를지배해버린,발버둥치는인간군상의고담시"
"90","10","완벽한영화음악,춤,연출,연기까지,편견없이보려고아무정보없이밨어요.근래최고의영화라고단언합니다."
"91","10","올드보이의최민식뺨칠정도의연기다.10/10"
"92","10","신기하다이영화지금껏네번봤는데도자꾸장면생각나고여운이길어또보고싶음.이번주에또보러가게될것같다.올해내가가장극장에서많이본영화.예술영화로서정말잘만들었다호아킨피닉스의아서일때연기와조커로바뀌었을때연기가자꾸생각난다"
"93","10","5일지나도문득생각나는영화는걸작이랬는데..1주일지나도계속생각난다."
