"","title","review"
"1","82년생 김지영","82년생 김지영이해 불가..현실감 없다 더 고생하고 사는 여자.엄마.아내 많은데...책이나 영화나 "
"2","람보 : 라스트 워","람보 : 라스트 워람보도 네임드 영화급인데 영화 왜 이렇게 갔냐.. 제임스 본 이나 로건 처럼, 기존에 상업적인건 좀 빼고 서사적으로 작품성 있게 갔으면 ㄹㅇ 흥행 평가 다 챙기는건데 ㅈㄴ 아깝다 진짜.. "
"3","사자","사자이현도  사자후 가  생각난다 ㅎ "
"4","쥬라기 월드: 폴른 킹덤","쥬라기 월드: 폴른 킹덤블루 씬스틸러 진짜 ㅋㅋ 죠낸 귀엽다ㅋ 진짜 끝판왕은 블루임 "
"5","스윗 프랑세즈","스윗 프랑세즈남주가 섹시하다고 느끼는분은 레드스패로를 꼭 보십시오.. 하 "
"6","남과 여","남과 여이 영화를 이제야 이해하다니.. ㅎㅎ주인공 공유도 전도연도 그리고 다른 등장인물도 이해가 된다.  내가 공유여도 문앞에서 망설였을 테니까...마지막 장면에서 전도연이 가장 가슴 아프게 느껴졌다.사랑에는 그 선택에 대한 책임과 고통을 따른다. 울수 있을만큼 울고 툴툴 털고 여운까지 정리하겠지만, 여운이 남은 자는 오랜 시간을  미련과 후회로 곱씹을 되더라~ 그 감정이 진정 사랑이였다면... "
"7","죄 많은 소녀","죄 많은 소녀2005년 고등학교1학년때 처음 릴리슈슈의모든것을 보고 난 후 느낀 감정들을 2019년도에 다시 느낀 영화. 띵해지는 영화였습니다. "
"8","라이온 킹","라이온 킹그래픽만 좋아진 어린애들 영화 "
"9","82년생 김지영","82년생 김지영최악의 페미영화남녀갈등 악화시키기 딱 좋은 영화 "
"10","82년생 김지영","82년생 김지영검자나마미도뱌수몬무 "
