"","comicName","comicSummary","comicGrade"
"1568","마법소년 근무일지","","9.72"
"1569","158동 진상부부","부부의 진짜 일상","9.11"
"1570","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1571","충충의 하루","충충의 하루","9.63"
"1572","휴지통","잔부스러기같은 행복","9.87"
"1573","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1574","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1575","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1576","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1577","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1578","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1579","나의 별에게","감성로맨스","9.92"
"1580","사랑을,너에게","학원성장물","9.90"
"1581","스투피즈","새내기 생활툰","9.93"
"1582","저주와 별가루","저주와 별가루","9.80"
"1583","목소리의 그늘","훈남 전문 성우들!","9.88"
"1584","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1585","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1586","당할연","당신도할수있다연애","7.26"
"1587","채똘일기","채똘일기","9.57"
"1588","매지컬팡","명랑만화 매지컬팡","9.90"
"1589","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1590","죽음과 동화","호러.판타지.로맨스","9.89"
"1591","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1592","마법소년 근무일지","","9.72"
"1593","158동 진상부부","부부의 진짜 일상","9.11"
"1594","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1595","충충의 하루","충충의 하루","9.63"
"1596","휴지통","잔부스러기같은 행복","9.87"
"1597","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1598","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1599","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1600","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1601","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1602","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1603","나의 별에게","감성로맨스","9.92"
"1604","사랑을,너에게","학원성장물","9.90"
"1605","스투피즈","새내기 생활툰","9.93"
"1606","저주와 별가루","저주와 별가루","9.80"
"1607","목소리의 그늘","훈남 전문 성우들!","9.88"
"1608","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1609","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1610","당할연","당신도할수있다연애","7.26"
"1611","채똘일기","채똘일기","9.57"
"1612","매지컬팡","명랑만화 매지컬팡","9.90"
"1613","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1614","죽음과 동화","호러.판타지.로맨스","9.89"
"1615","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1616","마법소년 근무일지","","9.72"
"1617","158동 진상부부","부부의 진짜 일상","9.11"
"1618","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1619","충충의 하루","충충의 하루","9.63"
"1620","휴지통","잔부스러기같은 행복","9.87"
"1621","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1622","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1623","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1624","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1625","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1626","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1627","나의 별에게","감성로맨스","9.92"
"1628","사랑을,너에게","학원성장물","9.90"
"1629","스투피즈","새내기 생활툰","9.93"
"1630","저주와 별가루","저주와 별가루","9.80"
