"","comicName","comicSummary","comicGrade"
"1937","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1938","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1939","나의 별에게","감성로맨스","9.92"
"1940","사랑을,너에게","학원성장물","9.90"
"1941","스투피즈","새내기 생활툰","9.93"
"1942","저주와 별가루","저주와 별가루","9.80"
"1943","목소리의 그늘","훈남 전문 성우들!","9.88"
"1944","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1945","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1946","당할연","당신도할수있다연애","7.26"
"1947","채똘일기","채똘일기","9.57"
"1948","매지컬팡","명랑만화 매지컬팡","9.90"
"1949","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1950","죽음과 동화","호러.판타지.로맨스","9.89"
"1951","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1952","마법소년 근무일지","","9.72"
"1953","158동 진상부부","부부의 진짜 일상","9.11"
"1954","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1955","충충의 하루","충충의 하루","9.63"
"1956","휴지통","잔부스러기같은 행복","9.87"
"1957","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1958","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1959","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1960","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1961","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1962","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1963","나의 별에게","감성로맨스","9.92"
"1964","사랑을,너에게","학원성장물","9.90"
"1965","스투피즈","새내기 생활툰","9.93"
"1966","저주와 별가루","저주와 별가루","9.80"
"1967","목소리의 그늘","훈남 전문 성우들!","9.88"
"1968","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1969","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1970","당할연","당신도할수있다연애","7.26"
"1971","채똘일기","채똘일기","9.57"
"1972","매지컬팡","명랑만화 매지컬팡","9.90"
"1973","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1974","죽음과 동화","호러.판타지.로맨스","9.89"
"1975","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"1976","마법소년 근무일지","","9.72"
"1977","158동 진상부부","부부의 진짜 일상","9.11"
"1978","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"1979","충충의 하루","충충의 하루","9.63"
"1980","휴지통","잔부스러기같은 행복","9.87"
"1981","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"1982","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"1983","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"1984","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"1985","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"1986","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"1987","나의 별에게","감성로맨스","9.92"
"1988","사랑을,너에게","학원성장물","9.90"
"1989","스투피즈","새내기 생활툰","9.93"
"1990","저주와 별가루","저주와 별가루","9.80"
"1991","목소리의 그늘","훈남 전문 성우들!","9.88"
"1992","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"1993","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"1994","당할연","당신도할수있다연애","7.26"
"1995","채똘일기","채똘일기","9.57"
"1996","매지컬팡","명랑만화 매지컬팡","9.90"
"1997","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"1998","죽음과 동화","호러.판타지.로맨스","9.89"
"1999","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"2000","마법소년 근무일지","","9.72"
"2001","158동 진상부부","부부의 진짜 일상","9.11"
"2002","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"2003","충충의 하루","충충의 하루","9.63"
"2004","휴지통","잔부스러기같은 행복","9.87"
"2005","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"2006","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"2007","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"2008","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"2009","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"2010","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"2011","나의 별에게","감성로맨스","9.92"
"2012","사랑을,너에게","학원성장물","9.90"
"2013","스투피즈","새내기 생활툰","9.93"
"2014","저주와 별가루","저주와 별가루","9.80"
