"","comicName","comicSummary","comicGrade"
"1377","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1378","카나와 초나의 독일","독일 유학 생존기","9.89"
"1379","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1380","다 이아리","데이트폭력에 관하여","9.84"
"1381","식인귀","괴물이 보인다","9.77"
"1382","저승파견고용직","기묘한 만화","9.92"
"1383","검은 늑대","검은 늑대","9.87"
"1384","제목이 7080 만화","7080 이야기","9.90"
"1385","하루와 모레","일상 이야기 :)","9.68"
"1386","올어바웃 You","봉카의 외노자인생","9.87"
"1387","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1388","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1389","외국 in 한국","영국인의한국생활","9.87"
"1390","중딩툰","중딩이 그리는 웹툰","9.46"
"1391","파리스의 선택","그리스 신화 회귀물","9.93"
"1392","아옹아옹","두식이 냥육일기","9.92"
"1393","A - STUDENT(모범생)","사악한 본성","9.83"
"1394","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1395","홈 스윗 홈","네식구 사는 이야기","9.85"
"1396","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1397","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1398","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1399","선선한 이야기","프리랜선선","9.68"
"1400","일상견문록","다른나라 일상이야기","9.85"
"1401","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1402","카나와 초나의 독일","독일 유학 생존기","9.89"
"1403","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1404","다 이아리","데이트폭력에 관하여","9.84"
"1405","식인귀","괴물이 보인다","9.77"
"1406","저승파견고용직","기묘한 만화","9.92"
"1407","검은 늑대","검은 늑대","9.87"
"1408","제목이 7080 만화","7080 이야기","9.90"
"1409","하루와 모레","일상 이야기 :)","9.68"
