"","comicName","comicSummary","comicGrade"
"1691","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1692","다 이아리","데이트폭력에 관하여","9.84"
"1693","식인귀","괴물이 보인다","9.77"
"1694","저승파견고용직","기묘한 만화","9.92"
"1695","검은 늑대","검은 늑대","9.87"
"1696","제목이 7080 만화","7080 이야기","9.90"
"1697","하루와 모레","일상 이야기 :)","9.68"
"1698","올어바웃 You","봉카의 외노자인생","9.87"
"1699","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1700","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1701","외국 in 한국","영국인의한국생활","9.87"
"1702","중딩툰","중딩이 그리는 웹툰","9.46"
"1703","파리스의 선택","그리스 신화 회귀물","9.93"
"1704","아옹아옹","두식이 냥육일기","9.92"
"1705","A - STUDENT(모범생)","사악한 본성","9.83"
"1706","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1707","홈 스윗 홈","네식구 사는 이야기","9.85"
"1708","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1709","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1710","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1711","선선한 이야기","프리랜선선","9.68"
"1712","일상견문록","다른나라 일상이야기","9.85"
"1713","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1714","카나와 초나의 독일","독일 유학 생존기","9.89"
"1715","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1716","다 이아리","데이트폭력에 관하여","9.84"
"1717","식인귀","괴물이 보인다","9.77"
"1718","저승파견고용직","기묘한 만화","9.92"
"1719","검은 늑대","검은 늑대","9.87"
"1720","제목이 7080 만화","7080 이야기","9.90"
"1721","하루와 모레","일상 이야기 :)","9.68"
"1722","올어바웃 You","봉카의 외노자인생","9.87"
"1723","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1724","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1725","외국 in 한국","영국인의한국생활","9.87"
"1726","중딩툰","중딩이 그리는 웹툰","9.46"
"1727","파리스의 선택","그리스 신화 회귀물","9.93"
"1728","아옹아옹","두식이 냥육일기","9.92"
"1729","A - STUDENT(모범생)","사악한 본성","9.83"
"1730","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1731","홈 스윗 홈","네식구 사는 이야기","9.85"
"1732","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1733","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1734","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1735","선선한 이야기","프리랜선선","9.68"
"1736","일상견문록","다른나라 일상이야기","9.85"
"1737","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1738","카나와 초나의 독일","독일 유학 생존기","9.89"
"1739","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1740","다 이아리","데이트폭력에 관하여","9.84"
"1741","식인귀","괴물이 보인다","9.77"
"1742","저승파견고용직","기묘한 만화","9.92"
"1743","검은 늑대","검은 늑대","9.87"
"1744","제목이 7080 만화","7080 이야기","9.90"
"1745","하루와 모레","일상 이야기 :)","9.68"
"1746","올어바웃 You","봉카의 외노자인생","9.87"
"1747","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"1748","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"1749","외국 in 한국","영국인의한국생활","9.87"
"1750","중딩툰","중딩이 그리는 웹툰","9.46"
"1751","파리스의 선택","그리스 신화 회귀물","9.93"
"1752","아옹아옹","두식이 냥육일기","9.92"
"1753","A - STUDENT(모범생)","사악한 본성","9.83"
"1754","이브의 꿈속친구","꿈에서 만난 친구","9.77"
"1755","홈 스윗 홈","네식구 사는 이야기","9.85"
"1756","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"1757","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"1758","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"1759","선선한 이야기","프리랜선선","9.68"
"1760","일상견문록","다른나라 일상이야기","9.85"
"1761","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"1762","카나와 초나의 독일","독일 유학 생존기","9.89"
"1763","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"1764","다 이아리","데이트폭력에 관하여","9.84"
"1765","식인귀","괴물이 보인다","9.77"
