"","comicName","comicSummary","comicGrade"
"1","A - STUDENT(모범생)","사악한 본성","9.83"
"2","이브의 꿈속친구","꿈에서 만난 친구","9.76"
"3","홈 스윗 홈","네식구 사는 이야기","9.85"
"4","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"5","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"6","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"7","선선한 이야기","프리랜선선","9.68"
"8","일상견문록","다른나라 일상이야기","9.85"
"9","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"10","카나와 초나의 독일","독일 유학 생존기","9.89"
"11","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"12","다 이아리","데이트폭력에 관하여","9.84"
"13","식인귀","괴물이 보인다","9.77"
"14","저승파견고용직","기묘한 만화","9.92"
"15","검은 늑대","검은 늑대","9.87"
"16","제목이 7080 만화","7080 이야기","9.90"
"17","하루와 모레","일상 이야기 :)","9.68"
"18","올어바웃 You","봉카의 외노자인생","9.87"
"19","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"20","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"21","외국 in 한국","영국인의한국생활","9.87"
"22","중딩툰","중딩이 그리는 웹툰","9.46"
"23","파리스의 선택","그리스 신화 회귀물","9.93"
"24","아옹아옹","두식이 냥육일기","9.92"
"25","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"26","당할연","당신도할수있다연애","7.25"
"27","채똘일기","채똘일기","9.57"
"28","매지컬팡","명랑만화 매지컬팡","9.90"
"29","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"30","죽음과 동화","호러.판타지.로맨스","9.89"
"31","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"32","마법소년 근무일지","","9.72"
"33","158동 진상부부","부부의 진짜 일상","9.11"
"34","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"35","충충의 하루","충충의 하루","9.63"
"36","휴지통","잔부스러기같은 행복","9.87"
"37","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"38","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"39","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"40","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"41","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"42","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"43","나의 별에게","감성로맨스","9.92"
"44","사랑을,너에게","학원성장물","9.90"
"45","스투피즈","새내기 생활툰","9.93"
"46","저주와 별가루","저주와 별가루","9.80"
"47","목소리의 그늘","훈남 전문 성우들!","9.88"
"48","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"49","A - STUDENT(모범생)","사악한 본성","9.83"
"50","이브의 꿈속친구","꿈에서 만난 친구","9.76"
"51","홈 스윗 홈","네식구 사는 이야기","9.85"
"52","제 소원을 들어주세요!","중요한걸 잊고있었어","9.86"
"53","헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"54","웰캄 투 실버라이프","할머니! 할아버지!","9.94"
"55","선선한 이야기","프리랜선선","9.68"
"56","일상견문록","다른나라 일상이야기","9.85"
"57","아빠는 여섯 살","아빠 4컷 그림일기","9.94"
"58","카나와 초나의 독일","독일 유학 생존기","9.89"
"59","광해와 이순신","전쟁을 이긴 영웅들","9.60"
"60","다 이아리","데이트폭력에 관하여","9.84"
"61","식인귀","괴물이 보인다","9.77"
"62","저승파견고용직","기묘한 만화","9.92"
"63","검은 늑대","검은 늑대","9.87"
"64","제목이 7080 만화","7080 이야기","9.90"
"65","하루와 모레","일상 이야기 :)","9.68"
"66","올어바웃 You","봉카의 외노자인생","9.87"
"67","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.91"
"68","나도 옷 잘 입고 싶다","패고의 패션만화","9.92"
"69","외국 in 한국","영국인의한국생활","9.87"
"70","중딩툰","중딩이 그리는 웹툰","9.46"
"71","파리스의 선택","그리스 신화 회귀물","9.93"
"72","아옹아옹","두식이 냥육일기","9.92"
"73","결혼하고 싶지 않았는데 못하게 되었다.","안하느냐 못했느냐","9.84"
"74","당할연","당신도할수있다연애","7.25"
"75","채똘일기","채똘일기","9.57"
"76","매지컬팡","명랑만화 매지컬팡","9.90"
"77","꿀렁한 하루","닥스훈트 영식과 도롯씌의 하루","9.60"
"78","죽음과 동화","호러.판타지.로맨스","9.89"
"79","나는 마요 집사로소이다","쉽지 않은 집사생활","9.91"
"80","마법소년 근무일지","","9.72"
"81","158동 진상부부","부부의 진짜 일상","9.11"
"82","껌은 고양이 뇌로","고양이 성 탈출극","9.82"
"83","충충의 하루","충충의 하루","9.63"
"84","휴지통","잔부스러기같은 행복","9.87"
"85","홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.84"
"86","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.94"
"87","가짜 좀비왕 4컷","일하기 싫은 가짜 좀비왕, 하루에 4컷만 완성하면 살아 남는다.","8.81"
"88","블랙펄 : 둥근 창의 세계","돈이궁한 용병이야기","9.72"
"89","무대에 서지 않지만 배우입니다","배우 지망생 이야기","9.86"
"90","신과의 대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"91","나의 별에게","감성로맨스","9.92"
"92","사랑을,너에게","학원성장물","9.90"
"93","스투피즈","새내기 생활툰","9.93"
"94","저주와 별가루","저주와 별가루","9.80"
"95","목소리의 그늘","훈남 전문 성우들!","9.88"
"96","서폿저택에 어서오세요","서폿만 사는 저택","9.84"
"97","STONE AGE","스릴러 판타지","9.88"
"98","이딴여행","여행포토툰","9.79"
"99","맹랑맘마 MEMORY","다시 쓰는 일기","9.83"
"100","라텔론","근미래속의 마법사","9.36"
"101","CMYK","의식의 흐름 만화","9.13"
"102","나의 작은 조","공룡집사의 반려인간","9.88"
"103","연애일기","소소한 연애 일상","9.83"
"104","분노의 난임일기","난임 정복 웹툰!","9.84"
"105","오늘부터 날아!","신나는 배구","9.89"
"106","용아","능력자 판타지","8.90"
"107","블랙메일","우체부 이야기.","9.33"
"108","[리뉴얼] 무감각자들","무감자,스릴러로맨스","9.64"
"109","1시간 30분","비글과 아웃사이더","9.89"
"110","마음과 마법의 반비례","마법학교 적응하기","9.88"
"111","위치파이와 미드나잇주스","내 인생은 내 인생","9.79"
"112","빵뽀시래기","빵집 알바 해봤니?","9.88"
"113","백수와 갓족","백수의 일상 습작","9.85"
"114","좋아하는거 참으면 병나요!","좋아하는건 못참아","9.71"
"115","중등 생활 보고서","현실 중딩 보고서","8.97"
"116","누나의 이중생활","이중생활이 시작됐다","9.93"
"117","좋은개 나쁜개 이상한개","강아지 사회화 교육","9.81"
"118","몬스터 커맨더F","몬스터 판타지","9.90"
"119","고양이로 살고 있습니다","고양이 지식, 일상","9.91"
"120","그레이스","최초의간호사이야기","9.84"
"121","채식주의자의 애완채소","스릴러, 리메이크중","9.86"
"122","여우자매","일상판타지 시대극","9.94"
"123","우리집 강아지는 복슬강아지","댕댕이와의 일상:3","9.94"
"124","지나온 길","그들의 학창시절","9.64"
"125","저승 화랑전","악덕 상사와 나","9.93"
"126","엘카림이 들어줄게!","SF+판타지 액션.","9.70"
"127","강가네","사남매 가족 적응기","9.91"
"128","마이동풍","달콤살벌청춘로맨스","9.20"
"129","시간의 뒷면","위험한 시간여행","9.51"
"130","이상과 현실","일상의 철학","9.92"
"131","길고양이 행진","덩치 큰 고양이.","9.91"
"132","우리는 예상치 못하게","그럴 때가 있잖아요","9.93"
"133","너를 만나다","어느날 너를 만나다","9.91"
"134","사라생전","김서방과 판타지","9.89"
"135","안녕, 나의 길고양이","길고양이와 공대생","9.94"
"136","나의 비거니즘 만화","비건의 일상","7.71"
"137","아마데우스","살인연극의 개막","9.84"
"138","존버닥터","섬탈출까지 존버해라","9.73"
"139","랜드라이프","상어의 육지 생활","9.92"
"140","게임에 접속했습니다!","게임하는 고딩들","9.90"
"141","우리는 친한친구","친한친구 이야기","9.63"
"142","수의사 그리는 미대생","수의사&미대생의 삶","9.83"
"143","남의 집 귀한 자식","너무 친절한 그녀","9.76"
"144","만화 임진왜란","쉽게 보는 임진왜란","9.77"
"145","범이올시다!","방실의 범집사 일기","9.91"
"146","이리(iri)","윤회판타지/자유연재","9.59"
"147","이상한 사무실","디자인 회사 이야기","9.76"
"148","오늘도 그래고래","귀여움으로 승부한다","9.93"
"149","여자 공수혁","수혁이 학원기","9.94"
"150","이데아 프로젝트","능력자 판타지","9.80"
"151","런어웨이","초능력 소녀,그의 소유물이 되다","9.83"
